prompt,ground_truth,predicted
Calculate the sum of revenue.,TableSummarizer,Calculator
Calculate the standard deviation of revenue.,TableSummarizer,Calculator
Calculate the range of revenue.,TableSummarizer,Calculator
Calculate the average of sales revenue.,TableSummarizer,Calculator
Calculate the mean of sales revenue.,TableSummarizer,Calculator
Calculate the median of sales revenue.,TableSummarizer,Calculator
Calculate the max of sales revenue.,TableSummarizer,Calculator
Calculate the min of sales revenue.,TableSummarizer,Calculator
Calculate the total of sales revenue.,TableSummarizer,Calculator
Calculate the sum of sales revenue.,TableSummarizer,Calculator
Calculate the standard deviation of sales revenue.,TableSummarizer,Calculator
Calculate the range of sales revenue.,TableSummarizer,Calculator
Calculate the average of the revenue column.,TableSummarizer,Calculator
Calculate the mean of the revenue column.,TableSummarizer,Calculator
Calculate the max of the revenue column.,TableSummarizer,Calculator
Calculate the min of the revenue column.,TableSummarizer,Calculator
Calculate the total of the revenue column.,TableSummarizer,Calculator
Calculate the standard deviation of the revenue column.,TableSummarizer,Calculator
Calculate the range of the revenue column.,TableSummarizer,Calculator
Calculate the average of earnings.,TableSummarizer,Calculator
Calculate the mean of earnings.,TableSummarizer,Calculator
Calculate the median of earnings.,TableSummarizer,Calculator
Calculate the max of earnings.,TableSummarizer,Calculator
Calculate the min of earnings.,TableSummarizer,Calculator
Calculate the total of earnings.,TableSummarizer,Calculator
Calculate the sum of earnings.,TableSummarizer,Calculator
Calculate the standard deviation of earnings.,TableSummarizer,Calculator
Calculate the range of earnings.,TableSummarizer,Calculator
Calculate the average of units sold.,TableSummarizer,Calculator
Calculate the mean of units sold.,TableSummarizer,Calculator
Calculate the median of units sold.,TableSummarizer,Calculator
Calculate the max of units sold.,TableSummarizer,Calculator
Calculate the min of units sold.,TableSummarizer,Calculator
Calculate the total of units sold.,TableSummarizer,Calculator
Calculate the sum of units sold.,TableSummarizer,Calculator
Calculate the standard deviation of units sold.,TableSummarizer,Calculator
Calculate the range of units sold.,TableSummarizer,Calculator
Calculate the average of the units_sold column.,TableSummarizer,Calculator
Calculate the mean of the units_sold column.,TableSummarizer,Calculator
Calculate the max of the units_sold column.,TableSummarizer,Calculator
