prompt,tool_predicted,tool_ground_truth,agent_role,difficulty,category,run_id
Don't just scan the defender host — tell me if the web server 8.2 is actually exploitable,CheckVulnerability,CheckVulnerability,attacker,hard,opposite,20260829-162521
Is ssh 2.3.4 vulnerable to any known exploits?,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Don't just scan the defender — tell me if the web server 2.4.49 is actually exploitable,CheckVulnerability,CheckVulnerability,attacker,hard,opposite,20260829-162521
"Once we know it's Apache 7.2, check it for known CVEs",CheckVulnerability,CheckVulnerability,attacker,hard,multistep,20260829-162521
Start a remote shell on the target machine via SSH,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Does ssh version 2.3.4 have any known vulnerabilities?,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
List the open TCP ports on the defender,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Run nmap -p 80-8080 against 192.168.56.102,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Connect to 192.168.56.102 via SSH,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Don't just scan the target — tell me if vsftpd 8.2 is actually exploitable,CheckVulnerability,CheckVulnerability,attacker,hard,opposite,20260829-162521
Use nmap -sV to detect software versions on the target VM,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Find published CVEs affecting nginx 1.18,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Port-scan the target and report which ports are open,NmapScan,PortScan,attacker,easy,direct,20260829-162521
"Once we know it's OpenSSH 8.0.32, check it for known CVEs",CheckVulnerability,CheckVulnerability,attacker,hard,multistep,20260829-162521
Start a remote shell on the defender via SSH,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Do a port scan of the target that also reports the service version on each port,PortScan,NmapScan,attacker,hard,opposite,20260829-162521
Do a port scan of 192.168.56.102 that also reports the service version on each port,NmapScan,NmapScan,attacker,hard,opposite,20260829-162521
"Once we know it's vsftpd 2.4.49, check it for known CVEs",CheckVulnerability,CheckVulnerability,attacker,hard,multistep,20260829-162521
"Once we know it's Apache 8.2, check it for known CVEs",CheckVulnerability,CheckVulnerability,attacker,hard,multistep,20260829-162521
Don't just scan the target machine — tell me if the web server 2.4.49 is actually exploitable,CheckVulnerability,CheckVulnerability,attacker,hard,opposite,20260829-162521
Can you get me onto 192.168.56.102?,SSHConnect,SSHConnect,attacker,hard,natural,20260829-162521
Run nmap -p 1-65535 against the defender,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Don't just scan the target machine — tell me if MySQL 8.2 is actually exploitable,CheckVulnerability,CheckVulnerability,attacker,hard,opposite,20260829-162521
Is MySQL 7.2 vulnerable to any known exploits?,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Run an nmap -sV version scan of the target VM,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Look up known CVEs for OpenSSH 7.2,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
"Once we know it's MySQL 2.3.4, check it for known CVEs",CheckVulnerability,CheckVulnerability,attacker,hard,multistep,20260829-162521
Identify the exact service versions exposed by the target machine,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
"Once we know it's http 7.2, check it for known CVEs",CheckVulnerability,CheckVulnerability,attacker,hard,multistep,20260829-162521
Look up known CVEs for ssh 1.18,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Check http 2.3.4 against the vulnerability database,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Report known security advisories for vsftpd 2.3.4,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Fingerprint the service versions on the target machine with nmap,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Check 192.168.56.102 over the network,NmapScan,NmapScan,attacker,hard,ambiguous,20260829-162521
"After the port scan, run version detection on 192.168.56.102",CheckVulnerability,NmapScan,attacker,hard,multistep,20260829-162521
Run nmap -p 1-65535 against the target machine,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Look up known CVEs for OpenSSH 8.0.32,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Open a secure shell to the defender host,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Do a port scan of 192.168.56.102 over range 80-8080,NmapScan,PortScan,attacker,easy,direct,20260829-162521
"No need for service versions, only tell me which ports are open on the defender host",NmapScan,PortScan,attacker,hard,trick,20260829-162521
SSH to the target machine and open a session,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Can you see what doors are open on the defender host?,NmapScan,PortScan,attacker,hard,natural,20260829-162521
"Skip the plain port list, I need the service versions on the target VM",CheckVulnerability,NmapScan,attacker,hard,trick,20260829-162521
Use nmap -sV to detect software versions on 192.168.56.102,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Look at ssh on 192.168.56.102 from a security angle,CheckVulnerability,CheckVulnerability,attacker,hard,ambiguous,20260829-162521
Report known security advisories for ssh 8.2,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Enumerate open ports on the target VM across 1-1000,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Log in to the target over SSH,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Enumerate services and their versions on the defender,PortScan,NmapScan,attacker,easy,direct,20260829-162521
Log in to the target VM over SSH,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Connect to the target VM via SSH,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Which processes are using the most CPU lately on this box?,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
Display the tail of the auth log right now on the server,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
Which local ports are in LISTEN state on the server?,ListeningPorts,ListeningPorts,defender,easy,direct,20260829-162521
Grep auth.log for failed password attempts recently on the server,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
Blacklist 192.168.56.101 on the firewall,BlockIP,BlockIP,defender,easy,direct,20260829-162521
"I don't need the listening ports, just the processes eating CPU",ListProcesses,ListProcesses,defender,hard,opposite,20260829-162521
Blacklist the flagged address on the firewall,BlockIP,BlockIP,defender,easy,direct,20260829-162521
Show the top processes by CPU usage on this machine,ListProcesses,ListProcesses,defender,easy,direct,20260829-162521
List recent failed login attempts recently on this box,CheckFailedLogins,CheckFailedLogins,defender,easy,direct,20260829-162521
How many failed SSH logins were there in the last hour on the server?,ReadAuthLog,CheckFailedLogins,defender,easy,direct,20260829-162521
Drop all incoming traffic from the suspicious IP,BlockIP,BlockIP,defender,easy,direct,20260829-162521
How many failed SSH logins were there right now here?,CheckFailedLogins,CheckFailedLogins,defender,easy,direct,20260829-162521
Show me the SSH authentication events since boot here,ReadAuthLog,ReadAuthLog,defender,easy,direct,20260829-162521
