prompt,tool
"If you split $111 equally among 24 people, how much does each person get?",Calculator
Add 225 and 31,Calculator
What is the square of 24 minus the square of 2?,Calculator
What is 830 - 2?,Calculator
What's 5 percent of 1377?,Calculator
What is 4 squared divided by 14?,Calculator
"If a printer prints 218 pages per minute, how many pages in 29 minutes?",Calculator
What is 50% of 1146?,Calculator
A field is 20 meters long and 44 meters wide. What is its area?,Calculator
Compute 10% of 2231,Calculator
Find the product of 82 and 72,Calculator
Calculate 856 / 48,Calculator
A loan of $326 at 5% simple interest for one year. How much interest?,Calculator
"If a printer prints 459 pages per minute, how many pages in 8 minutes?",Calculator
An item originally $127 is now $1. What is the percent decrease?,Calculator
Calculate 749 multiplied by 60,Calculator
An item originally $225 is now $1. What is the percent decrease?,Calculator
Calculate 10% of 1626,Calculator
Find 80 percent of 2257,Calculator
Find the product of 635 and 48,Calculator
What is the capital of Mexico?,Search
What language is spoken in Mexico?,Search
What is the population of Mexico?,Calculator
Tell me about Mexico.,Search
What currency is used in Mexico?,Search
Where is Mexico located?,Search
What is photosynthesis?,Search
Tell me about photosynthesis.,Calculator
Define photosynthesis.,TableSummarizer
Give me an overview of photosynthesis.,TableSummarizer
Can you explain photosynthesis?,TableSummarizer
What does photosynthesis mean?,Search
What is black holes?,Search
Tell me about black holes.,Search
Define black holes.,Calculator
Give me an overview of black holes.,Search
Can you explain black holes?,Calculator
What does black holes mean?,Search
What is evolution by natural selection?,Search
Tell me about evolution by natural selection.,Calculator
Define evolution by natural selection.,TableSummarizer
Give me an overview of evolution by natural selection.,TableSummarizer
Can you explain evolution by natural selection?,TableSummarizer
What does evolution by natural selection mean?,Search
When did the moon landing happen?,Calculator
Tell me about the moon landing.,Search
What was the moon landing?,Search
What caused the moon landing?,Search
Summarize the moon landing for me.,TableSummarizer
Why is the moon landing historically significant?,Search
When did the Cold War happen?,Search
Tell me about the Cold War.,Search
What was the Cold War?,Search
What caused the Cold War?,Search
Summarize the Cold War for me.,TableSummarizer
Why is the Cold War historically significant?,Search
What is the theory of relativity?,Search
Tell me about the theory of relativity.,Search
Define the theory of relativity.,TableSummarizer
Give me an overview of the theory of relativity.,Search
Can you explain the theory of relativity?,TableSummarizer
What does the theory of relativity mean?,Search
What is the capital of Germany?,Calculator
What language is spoken in Germany?,Search
What is the population of Germany?,Calculator
Tell me about Germany.,Search
What currency is used in Germany?,Calculator
Where is Germany located?,Search
Who is Frida Kahlo?,Search
Tell me about Frida Kahlo.,Search
What is Frida Kahlo known for?,Search
Why is Frida Kahlo famous?,Search
Give me a biography of Frida Kahlo.,Search
When did Frida Kahlo live?,Search
Explain how earthquakes happen.,TableSummarizer
Tell me how earthquakes happen.,Calculator
Describe how earthquakes happen.,TableSummarizer
Help me understand how earthquakes happen.,Calculator
Could you explain how earthquakes happen?,Calculator
Where is the Mariana Trench?,Search
Tell me about the Mariana Trench.,Search
What is special about the Mariana Trench?,TableSummarizer
Why is the Mariana Trench famous?,Search
Describe the Mariana Trench.,TableSummarizer
What language is spoken in Japan?,Search
What is the population of Japan?,Calculator
Tell me about Japan.,Search
What currency is used in Japan?,Calculator
Where is Japan located?,Search
Tell me about Beethoven's Ninth Symphony.,Search
Who created Beethoven's Ninth Symphony?,TableSummarizer
Why is Beethoven's Ninth Symphony significant?,Search
What is the history of Beethoven's Ninth Symphony?,TableSummarizer
Where is the Andes mountains?,Search
Tell me about the Andes mountains.,Search
What is special about the Andes mountains?,TableSummarizer
Why is the Andes mountains famous?,TableSummarizer
Describe the Andes mountains.,TableSummarizer
Who is Ada Lovelace?,Search
Tell me about Ada Lovelace.,Calculator
What is Ada Lovelace known for?,Calculator
Why is Ada Lovelace famous?,Calculator
Give me a biography of Ada Lovelace.,TableSummarizer
When did Ada Lovelace live?,Search
Who is Alan Turing?,Search
Tell me about Alan Turing.,Search
What is Alan Turing known for?,Search
Why is Alan Turing famous?,Search
Give me a biography of Alan Turing.,TableSummarizer
When did Alan Turing live?,Search
What is the capital of Australia?,Calculator
What language is spoken in Australia?,Search
What is the population of Australia?,Calculator
Tell me about Australia.,Search
What currency is used in Australia?,Calculator
Where is Australia located?,Search
What is artificial intelligence?,Search
Tell me about artificial intelligence.,Search
Define artificial intelligence.,Search
Give me an overview of artificial intelligence.,Search
Can you explain artificial intelligence?,TableSummarizer
What does artificial intelligence mean?,Search
When did the Cuban Missile Crisis happen?,Search
Tell me about the Cuban Missile Crisis.,Search
What was the Cuban Missile Crisis?,Search
What caused the Cuban Missile Crisis?,Search
Summarize the Cuban Missile Crisis for me.,TableSummarizer
Why is the Cuban Missile Crisis historically significant?,Search
Who is Albert Einstein?,Search
Tell me about Albert Einstein.,Search
What is Albert Einstein known for?,Search
Why is Albert Einstein famous?,Search
Give me a biography of Albert Einstein.,Search
When did Albert Einstein live?,Calculator
What is the cloud?,Search
Tell me about the cloud.,Search
Define the cloud.,Search
Give me an overview of the cloud.,Search
Can you explain the cloud?,Search
What does the cloud mean?,Search
Where is the Sahara Desert?,Search
Tell me about the Sahara Desert.,Search
What is special about the Sahara Desert?,Search
Why is the Sahara Desert famous?,Search
Describe the Sahara Desert.,TableSummarizer
When did the Great Depression happen?,Calculator
Tell me about the Great Depression.,Search
What was the Great Depression?,Search
What caused the Great Depression?,Search
Summarize the Great Depression for me.,TableSummarizer
Why is the Great Depression historically significant?,Search
Who is Marie Curie?,Search
Tell me about Marie Curie.,Search
What is Marie Curie known for?,Search
Why is Marie Curie famous?,Search
Give me a biography of Marie Curie.,Search
When did Marie Curie live?,Search
Explain why the sky is blue.,TableSummarizer
Tell me why the sky is blue.,Search
Describe why the sky is blue.,Search
Help me understand why the sky is blue.,Calculator
Could you explain why the sky is blue?,Calculator
Who is Stephen Hawking?,Search
Tell me about Stephen Hawking.,Search
What is Stephen Hawking known for?,Search
Why is Stephen Hawking famous?,Search
Give me a biography of Stephen Hawking.,Search
When did Stephen Hawking live?,Search
When did World War 2 happen?,Search
Tell me about World War 2.,Search
What was World War 2?,Search
What caused World War 2?,Search
Summarize World War 2 for me.,TableSummarizer
Why is World War 2 historically significant?,TableSummarizer
What is the capital of Brazil?,Search
What language is spoken in Brazil?,Search
What is the population of Brazil?,Calculator
Tell me about Brazil.,Search
What currency is used in Brazil?,Search
Where is Brazil located?,Search
What is plate tectonics?,Search
Tell me about plate tectonics.,TableSummarizer
Define plate tectonics.,TableSummarizer
Give me an overview of plate tectonics.,TableSummarizer
Can you explain plate tectonics?,TableSummarizer
What does plate tectonics mean?,Search
What is the capital of Egypt?,Search
What language is spoken in Egypt?,Search
What is the population of Egypt?,Calculator
Summarize the sales data.,TableSummarizer
Describe the dataset.,TableSummarizer
Show me a summary of the sales table.,TableSummarizer
Give me the statistics of the dataset.,TableSummarizer
What does the sales dataset look like?,TableSummarizer
Run a summary on the data.,TableSummarizer
Print the data summary.,TableSummarizer
Show describe() output for the table.,TableSummarizer
Give me an overview of the data.,TableSummarizer
Describe the sales CSV.,TableSummarizer
Show summary statistics for the sales data.,TableSummarizer
I want to see the data summary.,TableSummarizer
Show me a quick look at the data.,TableSummarizer
Give me a description of the dataset.,TableSummarizer
What's in this dataset?,Search
What columns does the table have?,TableSummarizer
List the columns in the dataset.,TableSummarizer
Which columns are in the data?,TableSummarizer
Show me the column names.,TableSummarizer
What fields are in the sales CSV?,TableSummarizer
Print the dataset columns.,TableSummarizer
What is the schema of the table?,TableSummarizer
Give me the column list.,TableSummarizer
What columns are present in the dataset?,TableSummarizer
Show me the headers of the data.,TableSummarizer
How many records are in the dataset?,Calculator
How many rows does the table have?,TableSummarizer
What is the size of the data?,Calculator
How big is the sales dataset?,TableSummarizer
Count the rows in the table.,TableSummarizer
Tell me the number of records.,TableSummarizer
How many entries are in the data?,Calculator
What is the row count?,TableSummarizer
Show me the dataset size.,TableSummarizer
Are there any missing values in the dataset?,TableSummarizer
Are there any nulls in the data?,TableSummarizer
Check for missing data in the table.,TableSummarizer
Does the dataset contain NaN values?,TableSummarizer
Tell me if any rows have missing fields.,TableSummarizer
How many missing values are in the data?,TableSummarizer
Are there any empty cells in the dataset?,TableSummarizer
Run a missing-values check on the table.,TableSummarizer
Show me the first few rows of the data.,TableSummarizer
Print the head of the dataset.,TableSummarizer
Give me a preview of the table.,TableSummarizer
Show the first 5 rows of the sales data.,TableSummarizer
Display the top of the dataset.,TableSummarizer
Let me see some sample rows from the table.,TableSummarizer
Show me the head of the sales CSV.,TableSummarizer
What is the average revenue in the dataset?,TableSummarizer
What is the mean revenue in the dataset?,Calculator
What is the median revenue in the dataset?,TableSummarizer
What is the max revenue in the dataset?,Calculator
What is the min revenue in the dataset?,TableSummarizer
What is the total revenue in the dataset?,TableSummarizer
What is the sum revenue in the dataset?,TableSummarizer
What is the standard deviation revenue in the dataset?,TableSummarizer
What is the range revenue in the dataset?,TableSummarizer
What is the average sales revenue in the dataset?,TableSummarizer
What is the mean sales revenue in the dataset?,Calculator
What is the median sales revenue in the dataset?,TableSummarizer
What is the max sales revenue in the dataset?,Calculator
What is the min sales revenue in the dataset?,Calculator
What is the total sales revenue in the dataset?,TableSummarizer
What is the sum sales revenue in the dataset?,TableSummarizer
What is the standard deviation sales revenue in the dataset?,TableSummarizer
What is the range sales revenue in the dataset?,TableSummarizer
What is the average the revenue column in the dataset?,TableSummarizer
What is the mean the revenue column in the dataset?,TableSummarizer
What is the median the revenue column in the dataset?,TableSummarizer
What is the max the revenue column in the dataset?,TableSummarizer
What is the min the revenue column in the dataset?,TableSummarizer
What is the total the revenue column in the dataset?,TableSummarizer
What is the sum the revenue column in the dataset?,TableSummarizer
What is the standard deviation the revenue column in the dataset?,TableSummarizer
What is the range the revenue column in the dataset?,TableSummarizer
What is the average earnings in the dataset?,TableSummarizer
What is the mean earnings in the dataset?,Calculator
What is the median earnings in the dataset?,TableSummarizer
What is the max earnings in the dataset?,Calculator
What is the min earnings in the dataset?,TableSummarizer
What is the total earnings in the dataset?,TableSummarizer
What is the sum earnings in the dataset?,TableSummarizer
What is the standard deviation earnings in the dataset?,TableSummarizer
What is the range earnings in the dataset?,TableSummarizer
What is the average units sold in the dataset?,TableSummarizer
What is the mean units sold in the dataset?,Calculator
What is the median units sold in the dataset?,TableSummarizer
What is the max units sold in the dataset?,TableSummarizer
What is the min units sold in the dataset?,TableSummarizer
What is the total units sold in the dataset?,TableSummarizer
What is the sum units sold in the dataset?,TableSummarizer
What is the standard deviation units sold in the dataset?,TableSummarizer
What is the range units sold in the dataset?,TableSummarizer
What is the average the units_sold column in the dataset?,TableSummarizer
What is the mean the units_sold column in the dataset?,TableSummarizer
What is the median the units_sold column in the dataset?,TableSummarizer
What is the max the units_sold column in the dataset?,Calculator
What is the min the units_sold column in the dataset?,TableSummarizer
What is the total the units_sold column in the dataset?,TableSummarizer
What is the sum the units_sold column in the dataset?,TableSummarizer
What is the standard deviation the units_sold column in the dataset?,TableSummarizer
What is the range the units_sold column in the dataset?,TableSummarizer
What is the average unit sales in the dataset?,TableSummarizer
What is the mean unit sales in the dataset?,Calculator
What is the median unit sales in the dataset?,TableSummarizer
What is the max unit sales in the dataset?,Calculator
What is the min unit sales in the dataset?,TableSummarizer
What is the total unit sales in the dataset?,TableSummarizer
What is the sum unit sales in the dataset?,TableSummarizer
What is the standard deviation unit sales in the dataset?,TableSummarizer
What is the range unit sales in the dataset?,TableSummarizer
What is the average the number of units sold in the dataset?,TableSummarizer
What is the mean the number of units sold in the dataset?,TableSummarizer
What is the median the number of units sold in the dataset?,TableSummarizer
What is the max the number of units sold in the dataset?,Calculator
What is the min the number of units sold in the dataset?,TableSummarizer
What is the total the number of units sold in the dataset?,TableSummarizer
What is the sum the number of units sold in the dataset?,TableSummarizer
What is the standard deviation the number of units sold in the dataset?,TableSummarizer
What is the range the number of units sold in the dataset?,TableSummarizer
Calculate the average of revenue.,Calculator
Calculate the mean of revenue.,Calculator
Calculate the median of revenue.,Calculator
Calculate the max of revenue.,Calculator
Calculate the min of revenue.,Calculator
Calculate the total of revenue.,Calculator
Calculate the sum of revenue.,Calculator
Calculate the standard deviation of revenue.,Calculator
Calculate the range of revenue.,Calculator
Calculate the average of sales revenue.,Calculator
Calculate the mean of sales revenue.,Calculator
Calculate the median of sales revenue.,Calculator
Calculate the max of sales revenue.,Calculator
Calculate the min of sales revenue.,Calculator
Calculate the total of sales revenue.,Calculator
Calculate the sum of sales revenue.,Calculator
Calculate the standard deviation of sales revenue.,Calculator
Calculate the range of sales revenue.,Calculator
Calculate the average of the revenue column.,Calculator
Calculate the mean of the revenue column.,Calculator
Calculate the median of the revenue column.,TableSummarizer
Calculate the max of the revenue column.,Calculator
Calculate the min of the revenue column.,Calculator
Calculate the total of the revenue column.,Calculator
Calculate the sum of the revenue column.,TableSummarizer
Calculate the standard deviation of the revenue column.,Calculator
Calculate the range of the revenue column.,Calculator
Calculate the average of earnings.,Calculator
Calculate the mean of earnings.,Calculator
Calculate the median of earnings.,Calculator
Calculate the max of earnings.,Calculator
Calculate the min of earnings.,Calculator
Calculate the total of earnings.,Calculator
Calculate the sum of earnings.,Calculator
Calculate the standard deviation of earnings.,Calculator
Calculate the range of earnings.,Calculator
Calculate the average of units sold.,Calculator
Calculate the mean of units sold.,Calculator
Calculate the median of units sold.,Calculator
Calculate the max of units sold.,Calculator
Calculate the min of units sold.,Calculator
Calculate the total of units sold.,Calculator
Calculate the sum of units sold.,Calculator
Calculate the standard deviation of units sold.,Calculator
Calculate the range of units sold.,Calculator
Calculate the average of the units_sold column.,Calculator
Calculate the mean of the units_sold column.,Calculator
Calculate the median of the units_sold column.,TableSummarizer
Calculate the max of the units_sold column.,Calculator
